Character,Jump Height,Jumps,Speed,Gravity,Heaviness,Range,Knockback Base,Knockback Growth,Wind Up,Duration,Cool Down,Damage,Stun,Range,Knockback Base,Knockback Growth,Wind Up,Duration,Cool Down,Damage,Stun,Advantage,Disadvantage
Luigi,1,2,0.35,1,500,5.5,12,100,3,5,4,7,16,6.5,30,500,10,5,14,16,28,Farther Kick,Shorter Punch
Mario,1,2,0.35,1,500,7.5,12,100,3,5,4,7,16,4.5,30,500,10,5,14,16,28,Farther Punch,Shorter Kick
Fox,1,2,0.35,1,500,6.5,12,80,2,5,3,6,16,5.5,30,500,10,5,14,16,28,Faster Punch,Weaker Punch
Link,1,2,0.35,1,500,6.5,12,100,3,5,4,7,16,5.5,30,450,8,5,12,14,28,Faster Kick,Weaker Kick
Samus,1,2,0.35,1,500,6.5,12,100,3,5,4,7,16,5.5,30,550,12,5,16,20,28,Stronger Kick,Slower Kick
Captain Falcon,1,2,0.35,1,500,6.5,12,120,4,5,5,9,16,5.5,30,500,10,5,14,16,28,Stronger Punch,Slower Punch
Thomas,1,2,0.35,1,500,6.5,12,100,3,5,4,8,14,5.5,30,500,10,5,14,18,24,More Damage,Less Stun Time
Guy-Manuel,1,2,0.35,1,500,6.5,12,100,3,5,4,6,18,5.5,30,500,10,5,14,14,32,More Stun Time,Less Damage
Michael Jordan,1.3,2,0.35,1,500,6.5,12,100,3,5,4,7,16,5.5,30,450,10,5,14,14,28,Higher Jump,Weaker Kick
Snoop Dogg,0.9,2,0.35,1,500,6.5,12,100,3,5,4,7,16,5.5,30,550,10,5,14,20,28,Stronger Kick,Shorter Jump
Tron,1,2,0.4,1.1,500,6.5,12,100,3,5,4,7,16,5.5,30,500,10,5,14,16,28,Faster Movement,Faster Falling
Psy,1,2,0.3,1,500,6.5,12,100,3,5,4,7,18,5.5,30,500,10,5,14,16,32,More Stun Time,Slower Movement
Nightwing,1,2,0.4,1,400,6.5,12,100,3,5,4,7,16,5.5,30,500,10,5,14,16,28,Faster Movement,More Knockback
Robin,1,3,0.35,1,500,6.5,12,80,3,5,4,6,16,5.5,30,500,10,5,14,16,28,Extra Jump,Weaker Punch
Batman,1,2,0.35,0.9,500,6.5,12,100,3,5,4,7,16,5.5,30,500,12,5,16,16,28,Slower Falling,Slower Kick
Superman,1,2,0.35,0.9,500,6.5,12,100,4,5,5,7,16,5.5,30,500,10,5,14,16,28,Slower Falling,Slower Punch
Iron Man,1,2,0.3,1,700,6.5,12,100,3,5,4,7,16,5.5,30,500,10,5,14,16,28,Less Knockback,Slower Movement
Spiderman,1,2,0.35,1.1,500,6.5,12,100,3,5,4,7,18,5.5,30,500,10,5,14,16,32,More Stun Time,Faster Falling
Friedman,1.3,3,0.4,1.1,700,7.5,12,120,2,5,3,9,18,6.5,30,550,12,5,16,20,32,Everything,None
